wave (um),depth
0.90017,9.17480015914e-05
0.90917,9.93095965472e-05
0.91826,0.000101280819938
0.92745,9.04022756564e-05
0.93672,8.17807852417e-05
0.94609,9.33047378991e-05
0.95555,9.54779282166e-05
0.96511,9.67076104903e-05
0.97476,0.000102469442425
0.9845,0.000109338920344
0.99435,0.000123572592124
1.00429,0.000138405027886
1.01434,0.000150616600673
1.02448,0.000157657944782
1.03472,0.000177401119968
1.04507,0.000185178245843
1.05552,0.000195901866778
1.06608,0.000224613104681
1.07674,0.000225336724734
1.0875,0.000205905544108
1.09838,0.000178940014861
1.10936,0.00016323389289
1.12046,0.000155487807808
1.13166,0.000152678718626
1.14298,0.00017073349551
1.15441,0.000176726513272
1.16595,0.000177391071418
1.17761,0.000192267656541
1.18939,0.000204357326474
1.20128,0.000251873246679
1.21329,0.000253514022836
1.22543,0.000290743501055
1.23768,0.000310048379394
1.25006,0.000329166146302
1.26256,0.000337462404131
1.27518,0.000352519286825
1.28794,0.000365072482227
1.30082,0.000362341879211
1.31382,0.000345923692334
1.32696,0.000294174918926
1.34023,0.000122407698757
1.35363,9.47747926551e-05
1.36717,9.69415155837e-05
1.38084,0.000109764221229
1.39465,0.000103733788678
1.4086,0.000101918335766
1.42268,8.98235141724e-05
1.43691,0.000104434806804
1.45128,0.000122230523086
1.46579,0.000138439995451
1.48045,0.00015012781441
1.49525,0.000171697683377
1.51021,0.000221615756657
1.52531,0.000236274400703
1.54056,0.000279196928588
1.55597,0.00032230712459
1.57153,0.000365515439638
1.58724,0.000418331516119
1.60312,0.000458702082936
1.61915,0.000500927679061
1.63534,0.000590997695229
1.65169,0.00059049077687
1.66821,0.000614857324721
1.68489,0.00065127086655
1.70174,0.000612808221984
1.71876,0.000543384195332
1.73594,0.000514357113747
1.7533,0.000449527037039
1.77084,0.000373125793927
1.78854,0.00032712274725
1.80643,0.00030519534897
1.82449,0.000297145020019
1.84274,0.000277472638685
1.86117,0.000235638292636
1.87978,0.000311347731241
1.89858,0.000358339693981
1.91756,0.000366492377449
1.93674,0.00035748691332
1.9561,0.000361925952395
1.97567,0.000380313886742
1.99542,0.000390621486692
2.01538,0.000440267306456
2.03553,0.00049893891264
2.05589,0.000587891784537
2.07644,0.00069711393418
2.09721,0.000785989950236
2.11818,0.000895977633962
2.13936,0.000967859104602
2.16076,0.00105998030681
2.18236,0.00110387474591
2.20419,0.00114770148984
2.22623,0.00118058982592
2.24849,0.00122548832772
2.27098,0.00126149019052
2.29369,0.00125572352609
2.31662,0.00111835862535
2.33979,0.00113080411586
2.36319,0.00117016799982
2.38682,0.00106997043363
2.41069,0.00100827570769
2.43479,0.000890237894622
2.45914,0.000843433938746
2.48373,0.00064945356791
2.5,0.000602776274833
2.525,0.000531864430597
2.55025,0.000525826073597
2.57575,0.000530835725236
2.60151,0.000572988589808
2.62753,0.000644156512803
2.6538,0.000675169973053
2.68034,0.000557812316754
2.70714,0.000555200575865
2.73421,0.000568881486844
2.76156,0.000594677527689
2.78917,0.000613081168782
2.81706,0.000595343066978
2.84523,0.000630185308883
2.87369,0.000680543202116
2.90242,0.000668834539981
2.93145,0.00073375406306
2.96076,0.00073258156219
2.99037,0.000846302639649
3.02027,0.000853784203095
3.05048,0.000966318670093
3.08098,0.00103101849912
3.11179,0.00114358073533
3.14291,0.00117843691371
3.17434,0.00132211288133
3.20608,0.00136324871155
3.23814,0.00149988738179
3.27052,0.00163750024386
3.30323,0.00166838034034
3.33626,0.00175685046952
3.36962,0.00184254146246
3.40332,0.00195608490376
3.43735,0.00204095965069
3.47173,0.002123404158
3.50644,0.00223606899335
3.54151,0.00233691633976
3.57692,0.00246934084134
3.61269,0.00256382093837
3.64882,0.00269801269274
3.68531,0.00281440334074
3.72216,0.00297280600391
3.75938,0.00305235911693
3.79697,0.00317444997926
3.83494,0.00323110610887
3.87329,0.00339653536092
3.91203,0.00342363897633
3.95115,0.00343448319826
3.99066,0.00337785638344
4.03057,0.00334604294629
4.07087,0.00321639641525
4.11158,0.00311277313365
4.1527,0.00301519290884
4.19422,0.00286307656869
4.23616,0.00236203859481
4.27853,0.0020256096739
4.32131,0.00201001069479
4.36452,0.00211456676382
4.40817,0.00200153399946
4.45225,0.00195726542854
4.49677,0.00196897586894
4.54174,0.00206092066353
4.58716,0.00223032837512
4.63303,0.00223825163909
4.67936,0.00237729710196
4.72615,0.00239179597256
4.77342,0.00221385524463
4.82115,0.00258405442427
4.86936,0.00244352683806
4.91806,0.00236391609919
4.96724,0.00240957856582
5.0,0.00276444001698
5.125,0.00281744660506
5.24419,0.00293776074924
5.35854,0.00288178308123
5.46878,0.00283039789097
5.57549,0.00276627579203
5.6791,0.00287028618342
5.77998,0.00292084432867
5.87841,0.00291631528779
5.97465,0.0030753572602
6.0689,0.00318864919451
6.16134,0.003508534655
6.25211,0.00367811298364
6.34137,0.00373753443772
6.42921,0.00339398087737
6.51573,0.00292952345154
6.60104,0.0027191082778
6.68521,0.00295031706885
6.76832,0.00303444827552
6.85042,0.00290733471702
6.93157,0.00321517686593
7.01184,0.00329939537115
7.09126,0.00323758654154
7.16989,0.00342353908533
7.24776,0.00346266679652
7.3249,0.0034866412602
7.40137,0.00358103959336
7.47718,0.00359449447832
7.55236,0.00363244122579
7.62788,0.00355516754399
7.70416,0.00377200998139
7.7812,0.00370160947084
7.85901,0.0037816239874
7.9376,0.00378075549636
8.01698,0.00387712356542
8.09715,0.00395566184579
8.17812,0.0038984637076
8.2599,0.0041067352728
8.3425,0.00398418322453
8.42593,0.00430614186612
8.51019,0.0043270725998
8.59529,0.00444960806472
8.68124,0.00457952357245
8.76805,0.00451744820522
8.85573,0.00479554913657
8.94429,0.00477206919407
9.03373,0.00491251838251
9.12407,0.00504439313693
9.21531,0.00510504569227
9.30747,0.00516182261195
9.40054,0.00517406788657
9.49455,0.00536561118282
9.58949,0.00539621109996
9.68539,0.00545917095906
9.78224,0.00566612102144
9.88006,0.00540938047737
9.97886,0.00569043176641
10.07865,0.00565022632171
10.17944,0.00587818570248
10.28123,0.00569367619664
10.38405,0.00552400967334
10.48789,0.00579869852016
10.59276,0.00565530008695
10.69869,0.00596019455963
10.80568,0.00594066903337
10.91374,0.00575743309427
11.02287,0.00539524019718
11.1331,0.00581038303597
11.24443,0.00579763088418
11.35688,0.00581108690736
11.47045,0.00594478461152
11.58515,0.00561634951165
11.701,0.00554163414972
11.81801,0.00565420788986
11.93619,0.00578447947622
12.05555,0.00566414948484
